Feature ID	kingdom	phylum	class	order	family	genus	species	Confidence
8d89a92056a57d54ee8f6607f5c66415	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.999744789646
ec9d04c5b02827e2a3eed92da6866325	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0.999999999996
dc2e889bbfc192bc14953cebe91f8c44	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	0.997255684241
820690c9a0ad2be19fa8e4cbeb10d6ae	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum	0.997108484867
dceb84efdba0c4e6494ac063850071cd	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	1.0
773421f24cba8192a34c3d26d17763be	Bacteria	Firmicutes	Clostridia	Clostridiales				0.999999999999
f1b3ba7708b042c166cd9f71aebabc50	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta	0.995568791713
0243391c61e8633744d1a2689f9e8ba7	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum	0.99879064248
18cf19b4c201e637cbf7876f8e8b152e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		0.999994841177
ff5ffda9b02c4f6d1f393134ecbccfdb	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	0.999999999999
219915cba182f8e23144779b7e5dd9f2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	formicilis	0.952459660161
eecd2f3e7f0f219f689abf20460e0090	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Clostridium	ramosum	0.999969101979
8844e93b2c81535aa314fdef7402bb0a	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	0.971670276298
df8c7a8a7b79ddc530364ac7ef34665e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	longicatena	0.827235543016
ba5bddf9b1e1b14b8577aa69cf28b006	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum	0.998224650747
